기준년도,기준월,기준일,건축년도,아파트명,층수,도로명,법정동명,거래금액(만원),전용면적(㎡)
2022,1,12,2001,도덕파크타운2단지,4,가림일로,철산동,49000,39.65
2022,1,13,2017,광명역파크자이,28,광명역로,일직동,133000,84.931
2022,1,15,1989,주공1,8,안현로,하안동,43000,36.16
2022,1,15,1990,주공9,14,하안로,하안동,59400,45.77
2022,1,17,2017,광명역파크자이,4,광명역로,일직동,100000,59.968
2022,1,17,2010,이편한세상센트레빌,8,오리로,하안동,120000,123.7
2022,1,17,2010,광명소하휴먼시아7단지,8,소하로,소하동,95000,119.85
2022,1,17,2009,광명소하휴먼시아3단지,7,소하로,소하동,83000,84.83
2022,1,17,2009,광명 두산위브 트레지움,20,광덕산로,하안동,99400,59.993
2022,1,18,2014,오크팰리스,4,하안로,소하동,42000,53.2
2022,1,19,1989,주공3,1,안현로,하안동,45000,36.34
2022,1,21,1989,주공3,4,안현로,하안동,53500,41.3
2022,1,22,1989,주공3,12,안현로,하안동,54900,41.3
2022,1,22,1990,주공9,14,하안로,하안동,58000,45.77
2022,1,22,1990,주공10,6,하안로,하안동,56800,45.77
2022,1,23,1986,주공13,4,철산로,철산동,105000,73.08
2022,1,24,2010,광명신촌휴먼시아1단지,4,신촌로,소하동,89000,84.95
2022,1,24,1998,광복현대아파트,8,사성로103번길,철산동,59900,59.94
2022,1,26,2001,도덕파크타운2단지,21,가림일로,철산동,51000,39.65
2022,1,26,2017,광명역푸르지오,15,양달로,일직동,99000,59.997
2022,1,26,1990,주공6,1,금당로,하안동,50000,41.3
2022,1,27,2009,광명소하휴먼시아5단지,2,소하로,소하동,89000,84.95
2022,1,27,1993,미도아파트2차,5,영당로22번길,소하동,41700,59.67
2022,1,28,2009,광명소하휴먼시아5단지,2,소하로,소하동,89000,84.95
2022,1,28,2010,이편한세상센트레빌,6,오리로,하안동,104700,84.98
2022,1,29,2009,철산래미안자이,22,디지털로,철산동,98000,59.67
2022,1,4,1994,미도3차,16,영당로21번길,소하동,45000,59.85
2022,1,5,2010,광명소하휴먼시아7단지,1,소하로,소하동,108000,135.78
2022,1,5,1998,광명신원,3,,광명동,49900,59.96
2022,1,6,2002,도덕파크타운1단지,20,가림일로,철산동,76000,59.82
2022,1,7,2009,광명 두산위브 트레지움,3,광덕산로,하안동,126000,98.405
2022,1,8,1986,주공12,14,디지털로,철산동,103000,73.08
2022,1,8,2007,월드메르디앙,6,목감로,광명동,83800,84.83
2021,1,1,2006,금호어울림,15,하안로,소하동,62700,84.99
2021,1,10,2001,철산리버빌 주공아파트,1,안양천로502번길,철산동,51000,59.42
2021,1,11,2011,광명역세권휴먼시아3단지,6,성채로,소하동,79000,84.95
2021,1,11,1989,주공1,9,안현로,하안동,40000,41.3
2021,1,11,1990,주공10,10,하안로,하안동,57300,58.01
2021,1,11,1989,주공1,10,안현로,하안동,38000,41.3
2021,1,12,1990,주공7,15,금당로,하안동,44200,45.77
2021,1,12,2010,이편한세상센트레빌,5,오리로,하안동,86800,59.982
2021,1,12,1989,주공1,1,안현로,하안동,38000,41.3
2021,1,12,2009,철산래미안자이,14,디지털로,철산동,90800,59.67
2021,1,12,2010,광명소하휴먼시아7단지,14,소하로,소하동,100000,119.79
2021,1,12,1992,쌍마한신,10,철산로,철산동,76000,84.93
2021,1,12,1992,철산한신,4,디지털로,철산동,80800,89.455
2021,1,12,1992,쌍마한신,10,철산로,철산동,76000,84.93
2021,1,12,2011,광명해모로이연,4,목감로,광명동,70500,59.993
2021,1,12,2001,도덕파크타운2단지,8,가림일로,철산동,43000,39.65
2021,1,12,2001,도덕파크타운2단지,3,가림일로,철산동,40000,39.65
2021,1,13,1990,우성아파트,2,시청로,철산동,62000,76.15
2021,1,13,2002,도덕파크타운1단지,21,가림일로,철산동,85000,114.77
2021,1,13,1986,주공13,7,철산로,철산동,100000,84.77
2021,1,13,2017,광명역푸르지오,14,양달로,일직동,128000,84.925
2021,1,13,1985,저층주공8,2,모세로,철산동,130000,59.3
2021,1,13,1990,주공9,9,하안로,하안동,42000,45.77
2021,1,13,1990,우성아파트,9,시청로,철산동,64500,76.15
2021,1,13,1990,주공8(고층),5,하안로,하안동,55000,58.01
2021,1,13,1990,주공11,1,하안로,하안동,36000,36.16
2021,1,14,2010,광명소하휴먼시아7단지,13,소하로,소하동,89500,101.94
2021,1,14,1990,주공11,1,하안로,하안동,38700,41.3
2021,1,14,1990,주공11,3,하안로,하안동,45000,41.3
2021,1,14,1990,주공7,7,금당로,하안동,55800,58.01
2021,1,14,2009,광명 두산위브 트레지움,10,광덕산로,하안동,113300,84.996
2021,1,14,2010,이편한세상센트레빌,15,오리로,하안동,98000,84.981
2021,1,14,1990,주공10,1,하안로,하안동,42000,45.77
2021,1,15,2010,광명소하휴먼시아2단지,4,소하로,소하동,115000,135.77
2021,1,15,2010,광명역세권휴먼시아4단지,2,성채로,소하동,76500,74.98
2021,1,15,2011,광명역세권휴먼시아5단지,14,서원로,소하동,97000,101.1
2021,1,15,1993,미도아파트2차,15,영당로22번길,소하동,28000,59.67
2021,1,15,1997,광명한진타운,10,광명로,광명동,81000,84.95
2021,1,15,1989,주공3,1,안현로,하안동,33000,36.34
2021,1,15,2009,철산래미안자이,23,디지털로,철산동,125000,115.66
2021,1,15,2005,롯데낙천대,5,사성로,철산동,61510,84.14
2021,1,15,2001,도덕파크타운2단지,23,가림일로,철산동,56000,49.98
2021,1,15,2002,도덕파크타운1단지,13,가림일로,철산동,70000,84.98
2021,1,15,1989,주공3,1,안현로,하안동,33000,36.34
2021,1,15,1989,주공3,5,안현로,하안동,33000,36.34
2021,1,15,1990,주공10,2,하안로,하안동,54000,58.01
2021,1,15,2010,이편한세상센트레빌,3,오리로,하안동,84400,59.982
2021,1,15,1990,주공8(고층),11,하안로,하안동,45000,45.77
2021,1,15,1991,현대1,11,영당로22번길,소하동,46100,84.03
2021,1,16,1997,광명한진타운,12,광명로,광명동,80000,84.95
2021,1,16,2005,현진에버빌,17,목감로,광명동,63000,59.807
2021,1,16,2010,이편한세상센트레빌,18,오리로,하안동,102000,84.98
2021,1,16,1992,쌍마한신,4,철산로,철산동,72000,84.93
2021,1,16,2010,철산푸르지오하늘채,29,디지털로,철산동,108500,84.999
2021,1,16,2007,브라운스톤2차,12,도덕공원로,철산동,69500,58.531
2021,1,16,2006,브라운스톤,16,도덕공원로,철산동,79500,84.941
2021,1,16,2001,도덕파크타운2단지,4,가림일로,철산동,54800,49.97
2021,1,16,2001,도덕파크타운2단지,24,가림일로,철산동,56300,49.97
2021,1,16,2002,도덕파크타운1단지,22,가림일로,철산동,75000,84.98
2021,1,16,1992,철산한신,14,디지털로,철산동,81000,89.455
2021,1,16,1992,철산한신,14,디지털로,철산동,81000,89.455
2021,1,16,1992,철산한신,21,디지털로,철산동,82000,89.455
2021,1,16,2001,철산리버빌 주공아파트,15,안양천로502번길,철산동,60000,84.34
2021,1,16,1986,주공13,8,철산로,철산동,130500,121.26
2021,1,16,1986,주공12,7,디지털로,철산동,81000,53.46
2021,1,16,2004,팰리스필,6,새터로,광명동,50100,59.38
2021,1,16,2010,이편한세상센트레빌,18,오리로,하안동,102000,84.981
2021,1,16,1989,주공4,4,안현로,하안동,54700,59.39
2021,1,16,1989,주공4,8,안현로,하안동,46500,45.77
2021,1,16,1989,주공3,6,안현로,하안동,39000,36.16
2021,1,16,1989,주공3,9,안현로,하안동,52000,49.94
2021,1,16,1989,주공3,6,안현로,하안동,49500,49.94
2021,1,16,1989,주공3,9,안현로,하안동,42000,41.3
2021,1,16,1989,주공2,3,안현로,하안동,63000,66.56
2021,1,16,1989,주공2,11,안현로,하안동,53500,59.39
2021,1,16,1990,주공6,6,금당로,하안동,41300,41.3
2021,1,16,1990,주공6,2,금당로,하안동,36850,36.16
2021,1,16,2010,이편한세상센트레빌,27,오리로,하안동,99000,84.981
2021,1,16,1989,주공1,3,안현로,하안동,48500,49.94
2021,1,16,2006,금호어울림,15,하안로,소하동,57700,59.97
2021,1,16,2011,광명역세권휴먼시아3단지,9,성채로,소하동,74800,74.91
2021,1,16,1990,주공7,13,금당로,하안동,56500,59.39
2021,1,16,1990,주공7,15,금당로,하안동,42500,45.77
2021,1,16,1990,주공8(고층),2,하안로,하안동,51400,59.39
2021,1,16,1990,주공9,1,하안로,하안동,40800,45.77
2021,1,16,1990,주공10,3,하안로,하안동,40500,45.9
2021,1,16,1990,주공10,6,하안로,하안동,55700,59.39
2021,1,16,1990,주공10,2,하안로,하안동,54000,59.39
2021,1,16,1990,주공10,11,하안로,하안동,80000,79.07
2021,1,16,1990,주공10,7,하안로,하안동,56850,59.39
2021,1,16,1990,주공12,11,하안로,하안동,61500,58.46
2021,1,16,1990,주공5,13,가림로,하안동,41000,45.77
2021,1,18,1997,광명한진타운,13,광명로,광명동,74500,84.95
2021,1,18,1990,우성아파트,3,시청로,철산동,64000,84.74
2021,1,18,1990,주공11,6,하안로,하안동,53500,49.94
2021,1,18,1990,주공5,6,가림로,하안동,63000,79.07
2021,1,18,1990,주공8(고층),5,하안로,하안동,56800,58.01
2021,1,18,1989,주공1,12,안현로,하안동,49500,49.94
2021,1,18,1992,철산한신,5,디지털로,철산동,95500,129.655
2021,1,18,1990,우성아파트,3,시청로,철산동,64400,84.74
2021,1,18,2010,광명소하휴먼시아7단지,1,소하로,소하동,87000,101.94
2021,1,18,2011,광명역세권휴먼시아3단지,4,성채로,소하동,79900,74.98
